F,I,I,Q,A
tensor(24),tensor(23.8974)
tensor(10),tensor(9.9617)
tensor(11),tensor(11.1099)
tensor(67),tensor(67.1936)
tensor(101),tensor(100.9054)
tensor(97),tensor(96.9492)
tensor(164),tensor(164.1035)
tensor(179),tensor(178.9737)
tensor(183),tensor(182.9536)
tensor(184),tensor(184.1651)
tensor(136),tensor(136.0668)
tensor(109),tensor(108.8075)
tensor(22),tensor(21.9430)
tensor(91),tensor(90.9658)
tensor(187),tensor(186.8766)
tensor(188),tensor(188.1407)
tensor(189),tensor(189.0403)
tensor(28),tensor(27.8001)
tensor(137),tensor(137.0962)
tensor(175),tensor(175.1929)
tensor(146),tensor(146.0132)
tensor(167),tensor(167.1111)
tensor(190),tensor(189.9653)
tensor(46),tensor(45.9393)
tensor(36),tensor(36.0331)
tensor(147),tensor(147.0048)
tensor(148),tensor(147.9516)
tensor(191),tensor(190.9797)
tensor(156),tensor(154.9998)
tensor(134),tensor(134.0632)
tensor(149),tensor(149.0917)
tensor(157),tensor(157.0466)
tensor(192),tensor(191.8469)
tensor(159),tensor(159.1440)
tensor(63),tensor(63.0558)
tensor(64),tensor(63.8910)
tensor(110),tensor(110.4830)
tensor(111),tensor(110.9394)
tensor(144),tensor(143.9998)
tensor(85),tensor(85.2354)
tensor(145),tensor(145.0681)
tensor(126),tensor(125.6763)
tensor(139),tensor(139.2032)
tensor(193),tensor(192.7557)
tensor(194),tensor(193.9767)
tensor(47),tensor(47.1710)
tensor(37),tensor(36.8785)
tensor(26),tensor(25.9429)
tensor(112),tensor(111.8628)
tensor(135),tensor(135.2131)
tensor(100),tensor(99.9830)
tensor(127),tensor(126.7730)
tensor(74),tensor(74.3977)
tensor(195),tensor(195.1098)
tensor(92),tensor(91.7337)
tensor(4),tensor(4.2958)
tensor(32),tensor(31.8762)
tensor(61),tensor(61.1086)
tensor(128),tensor(127.9570)
tensor(150),tensor(150.2897)
tensor(120),tensor(119.9811)
tensor(68),tensor(68.1966)
tensor(69),tensor(69.3481)
tensor(113),tensor(112.9422)
tensor(86),tensor(86.0528)
tensor(48),tensor(48.0651)
tensor(70),tensor(70.2511)
tensor(71),tensor(71.0243)
tensor(114),tensor(113.0822)
tensor(89),tensor(88.5914)
tensor(107),tensor(106.9612)
tensor(151),tensor(151.0847)
tensor(196),tensor(195.9777)
tensor(160),tensor(160.2880)
tensor(115),tensor(115.1028)
tensor(116),tensor(115.9831)
tensor(161),tensor(161.4354)
tensor(166),tensor(165.9287)
tensor(129),tensor(129.2822)
tensor(117),tensor(116.9293)
tensor(93),tensor(93.1503)
tensor(78),tensor(78.2433)
tensor(87),tensor(87.0887)
tensor(118),tensor(117.9652)
tensor(59),tensor(58.9275)
tensor(130),tensor(129.9629)
tensor(158),tensor(157.7107)
tensor(124),tensor(123.9705)
tensor(79),tensor(79.0090)
tensor(123),tensor(122.9302)
tensor(152),tensor(152.0677)
tensor(94),tensor(94.1535)
tensor(52),tensor(52.3589)
tensor(121),tensor(121.2086)
tensor(99),tensor(98.9166)
tensor(103),tensor(103.4243)
tensor(125),tensor(125.0125)
tensor(168),tensor(168.0724)
tensor(65),tensor(65.1182)
tensor(15),tensor(15.0137)
tensor(39),tensor(39.0061)
tensor(142),tensor(142.2326)
tensor(16),tensor(15.7548)
tensor(1),tensor(3.0003)
tensor(8),tensor(7.6563)
tensor(40),tensor(39.9504)
tensor(42),tensor(42.0791)
tensor(13),tensor(12.9983)
tensor(176),tensor(176.0612)
tensor(177),tensor(176.9870)
tensor(140),tensor(140.1696)
tensor(143),tensor(143.2101)
tensor(131),tensor(131.0445)
tensor(172),tensor(171.9336)
tensor(181),tensor(181.2305)
tensor(83),tensor(82.8976)
tensor(84),tensor(84.0892)
tensor(95),tensor(94.9608)
tensor(25),tensor(24.7744)
tensor(153),tensor(153.1012)
tensor(132),tensor(131.7174)
tensor(173),tensor(173.0570)
tensor(197),tensor(197.0455)
tensor(75),tensor(74.9092)
tensor(154),tensor(153.8141)
tensor(41),tensor(40.8091)
tensor(53),tensor(53.0354)
tensor(169),tensor(169.1030)
tensor(162),tensor(162.0396)
tensor(122),tensor(122.1119)
tensor(174),tensor(173.8518)
tensor(198),tensor(197.9981)
tensor(199),tensor(197.9999)
tensor(178),tensor(177.8872)
tensor(182),tensor(179.6957)
tensor(77),tensor(77.6035)
tensor(19),tensor(18.8178)
tensor(38),tensor(37.8866)
tensor(138),tensor(138.1436)
tensor(81),tensor(80.9605)
tensor(66),tensor(66.3009)
tensor(96),tensor(95.8902)
tensor(80),tensor(80.1319)
tensor(163),tensor(162.9399)
tensor(170),tensor(170.1795)
tensor(155),tensor(154.9787)
tensor(133),tensor(133.0569)
tensor(102),tensor(102.2862)
tensor(35),tensor(35.0291)
tensor(104),tensor(103.9675)
tensor(72),tensor(71.8867)
tensor(43),tensor(43.1189)
tensor(14),tensor(14.1455)
tensor(20),tensor(19.9271)
tensor(55),tensor(55.0023)
tensor(108),tensor(107.8653)
tensor(119),tensor(119.0336)
tensor(165),tensor(165.1562)
tensor(76),tensor(76.0488)
tensor(105),tensor(104.9448)
tensor(56),tensor(56.1279)
tensor(27),tensor(26.7593)
tensor(2),tensor(3.0001)
tensor(18),tensor(17.4732)
tensor(180),tensor(179.9999)
tensor(33),tensor(33.1256)
tensor(34),tensor(33.9854)
tensor(88),tensor(87.8284)
tensor(106),tensor(106.1642)
tensor(6),tensor(6.0506)
tensor(54),tensor(53.9749)
tensor(57),tensor(57.0283)
tensor(58),tensor(58.0027)
tensor(29),tensor(28.9978)
tensor(141),tensor(141.1838)
tensor(49),tensor(49.1536)
tensor(21),tensor(20.9306)
tensor(185),tensor(184.9999)
tensor(23),tensor(23.0051)
tensor(50),tensor(50.0395)
tensor(90),tensor(89.9620)
tensor(98),tensor(97.9927)
tensor(73),tensor(73.0073)
tensor(186),tensor(185.9960)
tensor(44),tensor(44.0079)
tensor(7),tensor(6.7051)
tensor(51),tensor(51.2640)
tensor(171),tensor(171.1522)
tensor(62),tensor(61.9670)
tensor(12),tensor(12.0597)
tensor(9),tensor(8.8433)
tensor(30),tensor(29.6006)
tensor(31),tensor(30.9688)
tensor(82),tensor(81.9790)
tensor(60),tensor(59.8869)
tensor(45),tensor(44.9812)
tensor(17),tensor(16.8060)
tensor(0),tensor(3.0001)
tensor(3),tensor(3.0018)
tensor(24),tensor(23.7579)
tensor(10),tensor(9.9499)
tensor(11),tensor(11.0098)
tensor(67),tensor(66.9350)
tensor(101),tensor(101.1658)
tensor(97),tensor(96.6997)
tensor(164),tensor(164.2138)
tensor(179),tensor(179.0751)
tensor(183),tensor(183.0116)
tensor(184),tensor(184.0669)
tensor(136),tensor(136.1028)
tensor(109),tensor(108.3726)
tensor(22),tensor(21.9375)
tensor(91),tensor(90.8699)
tensor(187),tensor(187.0877)
tensor(188),tensor(187.9640)
tensor(189),tensor(188.9671)
tensor(28),tensor(27.9139)
tensor(137),tensor(136.9363)
tensor(175),tensor(175.1754)
tensor(146),tensor(146.0390)
tensor(167),tensor(167.0548)
tensor(190),tensor(189.9626)
tensor(46),tensor(46.0842)
tensor(36),tensor(36.0378)
tensor(147),tensor(146.8792)
tensor(148),tensor(148.1590)
tensor(191),tensor(190.9693)
tensor(156),tensor(154.9996)
tensor(134),tensor(134.1152)
tensor(149),tensor(148.9462)
tensor(157),tensor(157.0286)
tensor(192),tensor(191.8369)
tensor(159),tensor(159.1135)
tensor(63),tensor(63.0597)
tensor(64),tensor(63.9518)
tensor(110),tensor(110.1377)
tensor(111),tensor(111.2616)
tensor(144),tensor(143.9958)
tensor(85),tensor(85.2133)
tensor(145),tensor(145.0072)
tensor(126),tensor(125.7991)
tensor(139),tensor(139.0239)
tensor(193),tensor(192.9666)
tensor(194),tensor(194.0192)
tensor(47),tensor(47.2732)
tensor(37),tensor(36.8732)
tensor(26),tensor(25.8699)
tensor(112),tensor(111.9650)
tensor(135),tensor(134.8548)
tensor(100),tensor(100.0706)
tensor(127),tensor(126.8758)
tensor(74),tensor(73.9737)
tensor(195),tensor(195.5204)
tensor(92),tensor(91.6735)
tensor(4),tensor(4.2455)
tensor(5),tensor(5.1595)
tensor(32),tensor(31.8592)
tensor(61),tensor(61.0133)
tensor(128),tensor(127.7504)
tensor(150),tensor(150.0648)
tensor(120),tensor(120.2188)
tensor(68),tensor(68.3853)
tensor(69),tensor(69.2765)
tensor(113),tensor(112.8127)
tensor(86),tensor(86.1706)
tensor(48),tensor(48.2943)
tensor(70),tensor(70.1931)
tensor(71),tensor(70.5413)
tensor(114),tensor(113.7881)
tensor(89),tensor(88.9193)
tensor(107),tensor(106.9142)
tensor(151),tensor(150.8770)
tensor(196),tensor(195.9363)
tensor(160),tensor(159.4819)
tensor(115),tensor(114.9923)
tensor(116),tensor(116.0065)
tensor(161),tensor(160.6151)
tensor(166),tensor(166.1424)
tensor(129),tensor(129.1482)
tensor(117),tensor(116.8959)
tensor(93),tensor(92.7206)
tensor(78),tensor(78.0717)
tensor(87),tensor(87.3931)
tensor(118),tensor(117.9868)
tensor(59),tensor(59.0744)
tensor(130),tensor(129.7982)
tensor(158),tensor(157.5030)
tensor(124),tensor(123.8007)
tensor(79),tensor(79.1321)
tensor(123),tensor(123.0517)
tensor(152),tensor(151.9419)
tensor(94),tensor(94.0886)
tensor(52),tensor(52.2464)
tensor(121),tensor(120.7858)
tensor(99),tensor(98.9918)
tensor(103),tensor(103.3867)
tensor(125),tensor(125.0813)
tensor(168),tensor(168.0935)
tensor(65),tensor(65.1269)
tensor(15),tensor(15.0086)
tensor(39),tensor(39.0146)
tensor(142),tensor(142.2099)
tensor(16),tensor(15.7933)
tensor(1),tensor(3.0000)
tensor(8),tensor(7.7282)
tensor(40),tensor(39.9632)
tensor(42),tensor(42.0174)
tensor(13),tensor(12.9983)
tensor(176),tensor(176.2225)
tensor(177),tensor(176.9872)
tensor(140),tensor(140.0576)
tensor(143),tensor(143.1032)
tensor(131),tensor(130.9743)
tensor(172),tensor(172.3695)
tensor(181),tensor(181.1474)
tensor(83),tensor(83.1225)
tensor(84),tensor(84.0823)
tensor(95),tensor(94.7394)
tensor(25),tensor(24.7931)
tensor(153),tensor(153.1700)
tensor(132),tensor(131.9199)
tensor(173),tensor(173.2846)
tensor(197),tensor(197.1439)
tensor(75),tensor(75.1474)
tensor(154),tensor(153.8288)
tensor(41),tensor(41.0387)
tensor(53),tensor(53.4704)
tensor(169),tensor(169.3330)
tensor(162),tensor(161.9417)
tensor(122),tensor(121.9118)
tensor(174),tensor(174.2435)
tensor(198),tensor(197.9892)
tensor(199),tensor(198.0000)
tensor(178),tensor(178.2716)
tensor(182),tensor(179.9998)
tensor(77),tensor(77.0896)
tensor(19),tensor(18.8056)
tensor(38),tensor(37.8859)
tensor(138),tensor(138.1532)
tensor(81),tensor(80.9696)
tensor(66),tensor(66.0658)
tensor(96),tensor(96.2973)
tensor(80),tensor(80.0553)
tensor(163),tensor(163.0020)
tensor(170),tensor(170.3159)
tensor(155),tensor(154.8977)
tensor(133),tensor(133.0778)
tensor(102),tensor(102.1567)
tensor(35),tensor(35.1373)
tensor(104),tensor(104.0115)
tensor(72),tensor(72.0182)
tensor(43),tensor(43.1032)
tensor(14),tensor(14.0656)
tensor(20),tensor(19.9521)
tensor(55),tensor(54.9550)
tensor(108),tensor(107.8480)
tensor(119),tensor(119.1258)
tensor(165),tensor(165.2516)
tensor(76),tensor(76.0978)
tensor(105),tensor(105.0015)
tensor(56),tensor(56.0228)
tensor(27),tensor(26.8177)
tensor(2),tensor(3.0007)
tensor(18),tensor(17.3023)
tensor(180),tensor(179.9994)
tensor(33),tensor(33.0828)
tensor(34),tensor(33.8919)
tensor(88),tensor(87.8887)
tensor(106),tensor(106.2271)
tensor(6),tensor(6.0526)
tensor(54),tensor(53.9784)
tensor(57),tensor(57.1131)
tensor(58),tensor(57.9850)
tensor(29),tensor(28.9913)
tensor(141),tensor(141.0954)
tensor(49),tensor(49.1209)
tensor(21),tensor(20.8830)
tensor(185),tensor(184.9997)
tensor(23),tensor(23.0056)
tensor(50),tensor(50.1736)
tensor(90),tensor(89.9246)
tensor(98),tensor(97.9251)
tensor(73),tensor(73.0493)
tensor(186),tensor(186.0219)
tensor(44),tensor(44.0274)
tensor(7),tensor(6.6346)
tensor(51),tensor(51.2830)
tensor(171),tensor(171.1682)
tensor(62),tensor(61.9594)
tensor(12),tensor(12.0100)
tensor(9),tensor(8.7717)
tensor(30),tensor(29.6822)
tensor(31),tensor(30.9688)
tensor(82),tensor(81.9133)
tensor(60),tensor(59.8707)
tensor(45),tensor(44.8760)
tensor(17),tensor(16.8076)
tensor(0),tensor(3.0001)
tensor(3),tensor(3.0014)
tensor(24),tensor(23.7041)
tensor(10),tensor(9.9594)
tensor(11),tensor(10.8274)
tensor(67),tensor(66.8676)
tensor(101),tensor(101.1922)
tensor(97),tensor(96.6887)
tensor(164),tensor(163.9638)
tensor(179),tensor(179.0901)
tensor(183),tensor(183.2501)
tensor(184),tensor(184.0594)
tensor(136),tensor(136.0412)
tensor(109),tensor(108.3439)
tensor(22),tensor(21.9509)
tensor(91),tensor(90.7900)
tensor(187),tensor(187.1719)
tensor(188),tensor(188.0290)
tensor(189),tensor(189.0151)
tensor(28),tensor(27.9428)
tensor(137),tensor(136.9745)
tensor(175),tensor(175.2888)
tensor(146),tensor(146.0537)
tensor(167),tensor(167.0231)
tensor(190),tensor(189.9340)
tensor(46),tensor(45.9901)
tensor(36),tensor(36.0101)
tensor(147),tensor(146.8986)
tensor(148),tensor(148.0426)
tensor(191),tensor(191.0160)
tensor(156),tensor(154.9998)
tensor(134),tensor(134.0476)
tensor(149),tensor(148.9994)
tensor(157),tensor(157.0252)
tensor(192),tensor(191.9185)
tensor(159),tensor(159.0227)
tensor(63),tensor(63.0511)
tensor(64),tensor(64.0162)
tensor(110),tensor(110.0136)
tensor(111),tensor(111.0282)
tensor(144),tensor(143.9992)
tensor(85),tensor(84.9915)
tensor(145),tensor(145.0435)
tensor(126),tensor(126.0009)
tensor(139),tensor(139.0245)
tensor(193),tensor(193.0136)
tensor(194),tensor(194.0106)
tensor(47),tensor(47.0206)
tensor(37),tensor(36.8144)
tensor(26),tensor(25.8933)
tensor(112),tensor(111.8943)
tensor(135),tensor(134.8796)
tensor(100),tensor(100.0591)
tensor(127),tensor(127.0390)
tensor(74),tensor(74.0214)
tensor(195),tensor(195.2901)
tensor(92),tensor(91.6547)
tensor(4),tensor(4.2496)
tensor(5),tensor(5.1308)
tensor(32),tensor(31.8461)
tensor(61),tensor(61.0360)
tensor(128),tensor(128.2146)
tensor(150),tensor(150.2156)
tensor(120),tensor(120.3098)
tensor(68),tensor(67.8443)
tensor(69),tensor(69.3533)
tensor(113),tensor(112.9193)
tensor(86),tensor(86.2045)
tensor(48),tensor(48.1141)
tensor(70),tensor(70.3753)
tensor(71),tensor(70.3408)
tensor(114),tensor(114.0260)
tensor(89),tensor(88.8192)
tensor(107),tensor(107.0476)
tensor(151),tensor(151.0179)
tensor(196),tensor(196.0937)
tensor(160),tensor(159.5087)
tensor(115),tensor(115.0379)
tensor(116),tensor(116.1883)
tensor(161),tensor(160.4309)
tensor(166),tensor(165.9555)
tensor(129),tensor(128.9575)
tensor(117),tensor(116.8807)
tensor(93),tensor(92.7339)
tensor(78),tensor(78.0528)
tensor(87),tensor(86.9377)
tensor(118),tensor(117.9877)
tensor(59),tensor(58.9305)
tensor(130),tensor(129.6305)
tensor(158),tensor(158.2020)
tensor(124),tensor(123.7200)
tensor(79),tensor(79.1619)
tensor(123),tensor(123.0292)
tensor(152),tensor(151.9231)
tensor(94),tensor(94.0042)
tensor(52),tensor(52.3041)
tensor(121),tensor(120.7958)
tensor(99),tensor(99.1226)
tensor(103),tensor(103.3625)
tensor(125),tensor(124.9334)
tensor(168),tensor(168.1361)
tensor(65),tensor(65.1050)
tensor(15),tensor(15.0047)
tensor(39),tensor(39.0105)
tensor(142),tensor(142.1498)
tensor(16),tensor(15.8223)
tensor(1),tensor(3.0000)
tensor(8),tensor(7.8410)
tensor(40),tensor(39.9545)
tensor(42),tensor(41.9129)
tensor(13),tensor(12.9972)
tensor(176),tensor(176.2619)
tensor(177),tensor(177.0338)
tensor(140),tensor(140.2983)
tensor(143),tensor(143.2203)
tensor(131),tensor(131.0024)
tensor(172),tensor(172.2466)
tensor(181),tensor(181.2120)
tensor(83),tensor(83.1672)
tensor(84),tensor(83.9263)
tensor(95),tensor(94.9821)
tensor(25),tensor(24.7706)
tensor(153),tensor(153.1564)
tensor(132),tensor(132.0030)
tensor(173),tensor(173.4254)
tensor(197),tensor(197.2996)
tensor(75),tensor(75.2659)
tensor(154),tensor(153.8184)
tensor(41),tensor(41.0390)
tensor(53),tensor(53.0962)
tensor(169),tensor(169.1026)
tensor(162),tensor(161.8956)
tensor(122),tensor(121.9648)
tensor(174),tensor(174.1846)
tensor(198),tensor(197.9999)
tensor(199),tensor(198.0000)
tensor(178),tensor(178.2838)
tensor(182),tensor(179.9995)
tensor(77),tensor(77.3610)
tensor(19),tensor(18.7177)
tensor(38),tensor(37.8525)
tensor(138),tensor(138.0517)
tensor(81),tensor(80.9696)
tensor(66),tensor(66.1807)
tensor(96),tensor(95.9916)
tensor(80),tensor(80.0606)
tensor(163),tensor(162.9110)
tensor(170),tensor(170.2857)
tensor(155),tensor(154.9691)
tensor(133),tensor(133.2490)
tensor(102),tensor(102.1997)
tensor(35),tensor(34.9826)
tensor(104),tensor(104.1720)
tensor(72),tensor(72.0352)
tensor(43),tensor(43.1249)
tensor(14),tensor(14.0425)
tensor(20),tensor(19.7028)
tensor(55),tensor(55.0296)
tensor(108),tensor(107.9732)
tensor(119),tensor(118.6386)
tensor(165),tensor(165.1675)
tensor(76),tensor(76.0711)
tensor(105),tensor(105.0087)
tensor(56),tensor(55.8991)
tensor(27),tensor(26.6093)
tensor(2),tensor(3.0000)
tensor(18),tensor(17.8496)
tensor(180),tensor(180.1996)
tensor(33),tensor(33.1688)
tensor(34),tensor(34.2541)
tensor(88),tensor(87.8868)
tensor(106),tensor(105.9815)
tensor(6),tensor(6.0359)
tensor(54),tensor(53.9831)
tensor(57),tensor(57.0153)
tensor(58),tensor(57.9534)
tensor(29),tensor(28.7458)
tensor(141),tensor(141.2208)
tensor(49),tensor(49.2728)
tensor(21),tensor(20.8104)
tensor(185),tensor(184.9999)
tensor(23),tensor(23.0037)
tensor(50),tensor(50.0104)
tensor(90),tensor(89.9165)
tensor(98),tensor(97.9008)
tensor(73),tensor(73.0716)
tensor(186),tensor(185.8882)
tensor(44),tensor(43.9499)
tensor(7),tensor(6.7109)
tensor(51),tensor(51.3537)
tensor(171),tensor(171.3340)
tensor(62),tensor(61.9330)
tensor(12),tensor(11.8466)
tensor(9),tensor(8.8361)
tensor(30),tensor(29.8937)
tensor(31),tensor(30.9722)
tensor(82),tensor(81.9861)
tensor(60),tensor(60.0099)
tensor(45),tensor(44.9659)
tensor(17),tensor(16.7434)
tensor(0),tensor(3.0002)
tensor(3),tensor(3.0076)
tensor(24),tensor(23.7996)
tensor(10),tensor(9.9696)
tensor(11),tensor(10.8054)
tensor(67),tensor(67.0060)
tensor(101),tensor(101.0877)
tensor(97),tensor(96.9831)
tensor(164),tensor(164.1385)
tensor(179),tensor(179.0865)
tensor(183),tensor(183.0476)
tensor(184),tensor(184.1217)
tensor(136),tensor(136.0569)
tensor(109),tensor(108.6452)
tensor(22),tensor(21.9489)
tensor(91),tensor(90.8147)
tensor(187),tensor(186.8483)
tensor(188),tensor(188.0187)
tensor(189),tensor(189.0576)
tensor(28),tensor(27.7974)
tensor(137),tensor(137.0757)
tensor(175),tensor(175.0786)
tensor(146),tensor(146.0454)
tensor(167),tensor(167.0764)
